Date,Open,High,Low,Close,Adj Close,Volume
2008-07-14,6184.649902,6254.149902,6184.540039,6200.250000,6200.250000,130636700
2008-07-15,6154.890137,6164.729980,6006.580078,6081.700195,6081.700195,209058600
2008-07-16,6100.620117,6177.029785,5999.319824,6155.370117,6155.370117,200129700
2008-07-17,6177.069824,6318.339844,6177.069824,6271.270020,6271.270020,225875100
2008-07-18,6261.479980,6396.299805,6236.939941,6382.649902,6382.649902,207276600
2008-07-21,6381.439941,6484.290039,6342.819824,6424.839844,6424.839844,113619000
2008-07-22,6395.060059,6449.879883,6322.029785,6442.790039,6442.790039,187223800
2008-07-23,6486.049805,6562.259766,6485.049805,6536.089844,6536.089844,173668700
2008-07-24,6546.169922,6577.100098,6415.310059,6440.700195,6440.700195,194819000
2008-07-25,6411.709961,6479.959961,6331.270020,6436.709961,6436.709961,183938500
2008-07-28,6428.359863,6428.359863,6342.319824,6351.149902,6351.149902,116506500
2008-07-29,6302.879883,6425.450195,6264.740234,6398.799805,6398.799805,173752500
2008-07-30,6406.029785,6505.049805,6396.140137,6460.120117,6460.120117,140082900
2008-07-31,6467.859863,6540.450195,6428.490234,6479.560059,6479.560059,155397400
2008-08-01,6461.009766,6489.689941,6378.549805,6396.459961,6396.459961,131564800
2008-08-04,6403.299805,6403.529785,6322.009766,6349.810059,6349.810059,109583700
2008-08-05,6356.399902,6532.089844,6342.930176,6518.700195,6518.700195,175080200
2008-08-06,6531.549805,6568.790039,6496.169922,6561.390137,6561.390137,157899600
2008-08-07,6542.959961,6620.770020,6520.790039,6543.490234,6543.490234,138350600
2008-08-08,6537.540039,6586.100098,6442.850098,6561.649902,6561.649902,144950800
2008-08-11,6570.520020,6612.859863,6555.279785,6609.629883,6609.629883,123059300
2008-08-12,6601.700195,6626.700195,6545.240234,6585.870117,6585.870117,121877700
2008-08-13,6562.970215,6566.620117,6417.330078,6422.189941,6422.189941,165121000
2008-08-14,6450.729980,6481.279785,6369.580078,6442.209961,6442.209961,125922600
2008-08-15,6460.220215,6513.919922,6394.390137,6446.020020,6446.020020,129854400
2008-08-18,6436.140137,6485.910156,6374.950195,6432.879883,6432.879883,83530200
2008-08-19,6398.830078,6401.209961,6268.729980,6282.430176,6282.430176,135725100
2008-08-20,6297.830078,6336.790039,6262.490234,6317.799805,6317.799805,103231800
2008-08-21,6290.319824,6293.479980,6219.100098,6236.959961,6236.959961,121771100
2008-08-22,6243.529785,6355.959961,6229.189941,6342.419922,6342.419922,111120700
2008-08-25,6332.939941,6361.549805,6289.109863,6296.950195,6296.950195,63675700
2008-08-26,6287.810059,6370.529785,6238.069824,6340.520020,6340.520020,108987600
2008-08-27,6336.350098,6346.529785,6252.129883,6321.029785,6321.029785,122328900
2008-08-28,6313.910156,6456.180176,6265.430176,6420.540039,6420.540039,144840900
2008-08-29,6427.859863,6457.930176,6401.220215,6422.299805,6422.299805,109153400
2008-09-01,6400.850098,6448.979980,6341.100098,6421.799805,6421.799805,107796000
2008-09-02,6416.850098,6553.899902,6379.029785,6518.470215,6518.470215,172935200
2008-09-03,6488.120117,6519.209961,6439.910156,6467.490234,6467.490234,120806500
2008-09-04,6477.200195,6482.160156,6263.080078,6279.569824,6279.569824,161594100
2008-09-05,6247.640137,6253.399902,6095.560059,6127.439941,6127.439941,198012400
2008-09-08,6262.339844,6356.799805,6241.259766,6263.740234,6263.740234,191563700
2008-09-09,6258.259766,6327.180176,6199.109863,6233.410156,6233.410156,177757700
2008-09-10,6225.299805,6254.399902,6160.549805,6210.319824,6210.319824,164771800
2008-09-11,6192.609863,6202.169922,6086.299805,6178.899902,6178.899902,154276200
2008-09-12,6206.970215,6256.250000,6159.509766,6234.890137,6234.890137,163676800
2008-09-15,6138.419922,6138.419922,5942.140137,6064.160156,6064.160156,325805100
2008-09-16,6017.470215,6024.049805,5858.569824,5965.169922,5965.169922,358120700
2008-09-17,5977.680176,6035.509766,5825.240234,5860.979980,5860.979980,271196800
2008-09-18,5875.049805,5967.290039,5812.770020,5863.419922,5863.419922,296903500
2008-09-19,5986.939941,6220.290039,5982.299805,6189.529785,6189.529785,492149400
2008-09-22,6188.580078,6235.129883,6106.109863,6107.750000,6107.750000,186483400
2008-09-23,6091.850098,6123.479980,6033.750000,6068.529785,6068.529785,182343700
2008-09-24,6071.319824,6109.100098,6013.709961,6052.870117,6052.870117,130478700
2008-09-25,6057.609863,6188.430176,6049.850098,6173.029785,6173.029785,144900100
2008-09-26,6118.129883,6118.129883,6001.009766,6063.500000,6063.500000,143277400
2008-09-29,6010.100098,6015.589844,5802.509766,5807.080078,5807.080078,282323700
2008-09-30,5728.299805,5836.770020,5658.200195,5831.020020,5831.020020,280713500
2008-10-01,5865.080078,5866.399902,5746.819824,5806.330078,5806.330078,204641800
2008-10-02,5794.100098,5876.930176,5630.459961,5660.629883,5660.629883,224027900
2008-10-03,5682.330078,5831.970215,5617.810059,5797.029785,5797.029785,193519700
2008-10-06,5606.069824,5606.069824,5292.839844,5387.009766,5387.009766,304489300
2008-10-07,5450.379883,5502.330078,5300.299805,5326.629883,5326.629883,301573700
2008-10-08,5237.109863,5319.149902,4870.200195,5013.620117,5013.620117,382089400
2008-10-09,5054.899902,5153.529785,4803.620117,4887.000000,4887.000000,281796700
2008-10-10,4594.529785,4653.979980,4308.000000,4544.310059,4544.310059,458408100
2008-10-13,4642.020020,5062.450195,4641.379883,5062.450195,5062.450195,320643300
2008-10-14,5135.140137,5383.790039,5095.120117,5199.189941,5199.189941,294889300
2008-10-15,5187.390137,5192.129883,4790.680176,4861.629883,4861.629883,269198500
2008-10-16,4675.899902,4890.779785,4521.910156,4622.810059,4622.810059,307334600
2008-10-17,4757.979980,4835.899902,4576.580078,4781.330078,4781.330078,325195200
2008-10-20,4891.759766,4941.189941,4754.270020,4835.009766,4835.009766,192822800
2008-10-21,4882.799805,4909.640137,4736.220215,4784.410156,4784.410156,175523400
2008-10-22,4739.740234,4740.310059,4535.640137,4571.069824,4571.069824,191732900
2008-10-23,4559.709961,4576.870117,4364.200195,4519.700195,4519.700195,201491900
2008-10-24,4362.790039,4362.930176,4014.600098,4295.669922,4295.669922,286958400
2008-10-27,4143.450195,4486.129883,4062.770020,4334.640137,4334.640137,287962100
2008-10-28,4314.910156,4823.450195,4314.910156,4823.450195,4823.450195,482843500
2008-10-29,4460.259766,4885.850098,4460.259766,4808.689941,4808.689941,365780100
2008-10-30,4894.140137,5042.490234,4827.270020,4869.299805,4869.299805,251166600
2008-10-31,4856.020020,5066.810059,4785.109863,4987.970215,4987.970215,234404700
2008-11-03,5053.939941,5089.540039,4967.939941,5026.839844,5026.839844,173679900
2008-11-04,5018.830078,5302.569824,4993.100098,5278.040039,5278.040039,201108300
2008-11-05,5268.799805,5271.910156,5142.850098,5166.870117,5166.870117,158799000
2008-11-06,5101.979980,5101.979980,4781.509766,4813.569824,4813.569824,201230400
2008-11-07,4827.560059,5018.410156,4751.240234,4938.459961,4938.459961,145958500
2008-11-10,5024.430176,5135.149902,4998.040039,5025.529785,5025.529785,121306700
2008-11-11,4984.319824,4984.319824,4742.479980,4761.580078,4761.580078,159103900
2008-11-12,4801.899902,4875.660156,4555.439941,4620.799805,4620.799805,167327000
2008-11-13,4599.640137,4713.779785,4524.890137,4649.520020,4649.520020,142433600
2008-11-14,4723.290039,4874.160156,4695.790039,4710.240234,4710.240234,139067100
2008-11-17,4700.500000,4733.790039,4512.209961,4557.270020,4557.270020,137085700
2008-11-18,4556.479980,4607.540039,4445.879883,4579.470215,4579.470215,145021700
2008-11-19,4586.330078,4586.689941,4337.919922,4354.089844,4354.089844,185904400
2008-11-20,4274.979980,4313.160156,4113.490234,4220.200195,4220.200195,206255200
2008-11-21,4228.310059,4296.859863,4034.959961,4127.410156,4127.410156,204209900
2008-11-24,4167.709961,4579.069824,4154.549805,4554.330078,4554.330078,211675900
2008-11-25,4521.850098,4693.100098,4455.299805,4560.419922,4560.419922,200744500
2008-11-26,4528.549805,4612.220215,4423.669922,4560.500000,4560.500000,137166700
2008-11-27,4596.399902,4682.910156,4589.160156,4665.270020,4665.270020,118322500
2008-11-28,4666.410156,4703.669922,4566.839844,4669.439941,4669.439941,138307900
2008-12-01,4653.120117,4667.910156,4367.919922,4394.790039,4394.790039,149138800
2008-12-02,4349.129883,4572.180176,4304.029785,4531.790039,4531.790039,170007300
2008-12-03,4508.879883,4602.879883,4377.629883,4567.240234,4567.240234,242570100
2008-12-04,4559.979980,4732.930176,4491.859863,4564.229980,4564.229980,186889600
2008-12-05,4529.200195,4530.700195,4321.640137,4381.470215,4381.470215,176909100
2008-12-08,4548.870117,4775.709961,4548.870117,4715.879883,4715.879883,186376800
2008-12-09,4673.520020,4850.390137,4622.240234,4779.109863,4779.109863,172239300
